seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Don,Thompson,48,Uclad Street,Hukloze,VA,71783,$9698.51,RED,09/28/1978
2,Josie,Boone,37,Fodo Street,Bovkufeje,NE,30044,$178.56,GREEN,08/06/2007
3,Troy,Cobb,37,Wofo Boulevard,Tenuhtor,MN,32005,$3320.99,YELLOW,07/18/1918
4,Steve,Holland,64,Gutib Grove,Marmisahi,CT,41912,$8839.29,RED,06/10/1943
5,Clara,Johnston,37,Jovaj Grove,Ufozizil,DC,31322,$3583.25,RED,07/24/1999
6,Victoria,Salazar,34,Ehke Turnpike,Rekmiha,FL,42436,$8095.14,BLUE,11/04/1936
7,Theresa,Hansen,53,Cujo Extension,Uzdouga,OH,00998,$3208.03,BLUE,04/22/1982
8,Cole,Henderson,48,Vihfu Court,Ifolezap,ND,50300,$1886.69,GREEN,01/25/1955
9,Mina,Holloway,62,Cuwta Square,Takveike,KS,64755,$6318.58,WHITE,11/28/2035
10,Alvin,Hodges,52,Sitri Road,Hufaoc,CO,53066,$5643.30,BLUE,02/06/1948
11,Emily,Lewis,34,Efuif Ridge,Milucboc,FL,05623,$613.79,WHITE,04/25/2027
12,Devin,Anderson,29,Jiju Loop,Ginuswe,IL,47821,$906.21,WHITE,04/16/2048
13,Alexander,Schneider,51,Vepi Center,Zarkaisa,ND,30910,$4893.13,BLUE,04/04/1957
14,Rosetta,Wheeler,58,Iflo Mill,Badrarec,NE,89194,$7444.38,RED,01/27/1966
15,Minnie,French,54,Jojet Circle,Duebzez,KS,34962,$7825.01,YELLOW,08/01/1910
16,Jordan,Campbell,41,Gaal Road,Huunaliw,NJ,78371,$3169.31,YELLOW,03/01/2058
17,Mark,Newton,18,Patheb Trail,Heebiva,UT,19275,$7321.57,BLUE,02/25/1989
18,Kenneth,Schmidt,26,Cajdi View,Borvibe,ND,78973,$5244.39,RED,03/21/1961
19,Dean,Lambert,57,Fukaf Terrace,Roufopa,SD,64266,$641.07,WHITE,01/02/2009
20,Carrie,Diaz,24,Kirob Turnpike,Sajaov,CO,04471,$3597.78,RED,04/27/1929
21,Adrian,Holland,60,Asma Trail,Rovtinoc,IN,96437,$3675.10,YELLOW,02/08/2058
22,Isaiah,Morrison,48,Nottaz Trail,Hiwbebu,NM,52469,$4583.10,YELLOW,01/03/1908
23,Earl,Roberson,61,Keofa Road,Gesrutne,PA,99332,$2972.00,WHITE,05/08/1917
24,Edwin,Patton,51,Kugjo Highway,Tapefji,NH,96076,$2870.35,YELLOW,11/12/2068
25,Ryan,Leonard,44,Johoto Road,Ecuwaabu,NE,79153,$7356.13,YELLOW,05/15/2037
26,Lillian,Cannon,28,Fodo Point,Ditirpes,SD,66922,$2092.07,BLUE,12/17/2040
27,Dustin,Hardy,64,Lori Place,Viglewmo,MN,25005,$8667.14,RED,07/29/1929
28,Dollie,Harmon,23,Mifok Loop,Enhucuh,UT,24688,$4298.02,WHITE,09/12/1942
29,Mark,Elliott,19,Nodji Heights,Sublohse,CO,79126,$3832.21,RED,04/18/2002
30,Harriet,Jimenez,55,Mahje Parkway,Afgizo,OH,79789,$1720.88,BLUE,10/15/1990
31,Gavin,Russell,32,Jasav Point,Oricune,NE,22571,$1684.24,GREEN,12/11/2070
